Bioactivity_ID,Activity_Value,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Aid_Type,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Taxonomy_ID,Cell_ID,Target_Taxonomy_ID,Anatomy_ID,Anatomy,dois,pmcids,pclids,citations
183993323,0.0046,504466,17504222,3665766,"",79915,"",Confirmatory,20110316,1,0,Inconclusive,AAH15051,Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS screen for small molecules that induce genotoxicity in human embryonic kidney (HEK293T) cells expressing luciferase-tagged ELG1,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",ATAD5 - ATPase family AAA domain containing 5 (human),/gene/79915,"",AAH15051,9606,"","","","","","","",""
231963101,0.0073,602357,17504222,3665766,"",116160065,"",Confirmatory,20120309,1,0,Active,AAA29795,Potency,"",National Center for Advancing Translational Sciences (NCATS),FLuc inhibitory activity for the follow-up compounds in a biochemical assay with Km concentrations of substrate,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",LOC116160065 - luciferin 4-monooxygenase (common eastern firefly),/gene/116160065,"",P08659,7054,"","","","","","","",""
235170166,0.0142,602477,17504222,3665766,"",116160065,"",Confirmatory,20120322,1,0,Active,AAA29795,Potency,"",National Center for Advancing Translational Sciences (NCATS),FLuc inhibitory activity for the follow-up compounds in a cell-based assay to assess the activity of miR-21,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",LOC116160065 - luciferin 4-monooxygenase (common eastern firefly),/gene/116160065,"",P08659,7054,"","","","","","","",""
231963322,0.0651,602364,17504222,3665766,"",116160065,"",Confirmatory,20120312,1,0,Active,AAA29795,Potency,"",National Center for Advancing Translational Sciences (NCATS),FLuc inhibitory activity for the follow-up compounds in a biochemical assay with 1mM ATP,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",LOC116160065 - luciferin 4-monooxygenase (common eastern firefly),/gene/116160065,"",P08659,7054,"","","","","","","",""
172093604,0.13,493014,17504222,3665766,"","","",Confirmatory,20110106,1,0,Inconclusive,"",Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS Assay to Find Inhibitors of Chronic Active B-Cell Receptor Signaling,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
231963631,0.1457,602358,17504222,3665766,"",116160065,"",Confirmatory,20120309,1,0,Active,AAA29795,Potency,"",National Center for Advancing Translational Sciences (NCATS),FLuc inhibitory activity for the follow-up compounds in a biochemical assay with Km concentrations of substrate and 500microM CoASH,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",LOC116160065 - luciferin 4-monooxygenase (common eastern firefly),/gene/116160065,"",P08659,7054,"","","","","","","",""
35136337,0.146,1241,17504222,3665766,"",5970,"",Confirmatory,20090326,1,0,Active,NP_068810,EC50,"",SRMLSC,Name: High Throughput Screen to Identify Compounds that increase expression of NF-kB in Human Neuronal Cells - Dose Response,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","RELA - RELA proto-oncogene, NF-kB subunit (human)",/gene/5970,"",Q04206,9606,"","","","","","","",""
35136338,0.146,1241,17504222,3665766,"",4790,"",Confirmatory,20090326,1,0,Active,NP_003989,EC50,"",SRMLSC,Name: High Throughput Screen to Identify Compounds that increase expression of NF-kB in Human Neuronal Cells - Dose Response,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",NFKB1 - nuclear factor kappa B subunit 1 (human),/gene/4790,"",P19838,9606,"","","","","","","",""
235897629,0.1592,602478,17504222,3665766,"",116160065,"",Confirmatory,20120322,1,0,Active,AAA29795,Potency,"",National Center for Advancing Translational Sciences (NCATS),FLuc inhibitory activity for the follow-up compounds in a cell-based translational read-through assay (72 hour incubation),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",LOC116160065 - luciferin 4-monooxygenase (common eastern firefly),/gene/116160065,"",P08659,7054,"","","","","","","",""
204802727,0.2133,588342,17504222,3665766,"",116160065,"",Confirmatory,20110907,1,0,Active,AAA29795,Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS profiling assay for firefly luciferase inhibitor/activator using purifed enzyme and Km concentrations of substrates (counterscreen for miR-21 project),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",LOC116160065 - luciferin 4-monooxygenase (common eastern firefly),/gene/116160065,"",P08659,7054,"","","","","","","",""
182914336,0.2311,504444,17504222,3665766,"",4780,"",Confirmatory,20110315,1,0,Inconclusive,NP_001138884,Potency,"",National Center for Advancing Translational Sciences (NCATS),Nrf2 qHTS screen for inhibitors,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",NFE2L2 - NFE2 like bZIP transcription factor 2 (human),/gene/4780,"",Q16236,9606,"","","","","","","",""
235169688,0.2832,602476,17504222,3665766,"",116160065,"",Confirmatory,20120322,1,0,Active,AAA29795,Potency,"",National Center for Advancing Translational Sciences (NCATS),FLuc inhibitory activity for the follow-up compounds in a cell-based translational read-through assay,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",LOC116160065 - luciferin 4-monooxygenase (common eastern firefly),/gene/116160065,"",P08659,7054,"","","","","","","",""
241426155,0.363,624167,17504222,3665766,"",171071,"",Confirmatory,20120522,0,0,Active,NP_598230,"","",Burnham Center for Chemical Genomics,Dose Response confirmation of uHTS small molecule Peg3 Promoter Inhibitor hits in a screening assay,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","Ppp1r15a - protein phosphatase 1, regulatory subunit 15A (Norway rat)",/gene/171071,"",Q6IN02,10116,"","","","","","","",""
66800809,0.38291,1973,17504222,3665766,"",688,"",Confirmatory,20091013,1,0,Active,ABM97548,IC50,"",The Scripps Research Institute Molecular Screening Center,Luminescence-based dose response cell-based high throughput screening assay for inhibitors of kruppel-like factor 5 (KLF5).,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",KLF5 - KLF transcription factor 5 (human),/gene/688,"",ABM97548,9606,"","","","","","","",""
199918978,0.4611,540256,17504222,3665766,"","","",Confirmatory,20110723,1,0,Active,"",Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS for Inhibitors of binding or entry into cells for Lassa Virus,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","",45,"","","","","","",""
200957681,0.4611,540276,17504222,3665766,"","","",Confirmatory,20111118,1,0,Active,"",Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS for inhibitors of binding or entry into cells for Marburg Virus,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","",/protein/B45705,"","","","","","","","","","",""
91007501,0.5623,2551,17504222,3665766,"",19885,"",Confirmatory,20100315,1,0,Active,NP_035411,Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS for inhibitors of ROR gamma transcriptional activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",Rorc - RAR-related orphan receptor gamma (house mouse),/gene/19885,"",P51450,10090,"","","","","","","",""
89845543,0.631,2546,17504222,3665766,"",19885,"",Confirmatory,20100313,1,0,Active,NP_035411,Potency,"",National Center for Advancing Translational Sciences (NCATS),VP16 counterscreen qHTS for inhibitors of ROR gamma transcriptional activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",Rorc - RAR-related orphan receptor gamma (house mouse),/gene/19885,"",P51450,10090,"","","","","","","",""
235169965,0.6339,602474,17504222,3665766,"",116160065,"",Confirmatory,20120322,1,0,Active,AAA29795,Potency,"",National Center for Advancing Translational Sciences (NCATS),FLuc inhibitory activity for the follow-up compounds in a biochemical assay with a commercial detection reagent - BriteliteTM Plus (PerkinElmer),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",LOC116160065 - luciferin 4-monooxygenase (common eastern firefly),/gene/116160065,"",P08659,7054,"","","","","","","",""
339027091,0.649,743444,17504222,3665766,"","","",Confirmatory,20140410,1,0,Active,AAC47329,AC50,"",Broad Institute,LGR2:Counterscreen with MC4R Measured in Cell-Based System Using Plate Reader - 7011-02_Antagonist_Dose_CherryPick_Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",MSH (fruit fly),/protein/AAC47329,"",AAC47329,7227,"","","","","","","",""
338003792,0.749,743343,17504222,3665766,"","","",Confirmatory,20140327,1,0,Active,"",AC50,"",Broad Institute,Bursicon-induced LGR2 mediated cAMP production in LGR-2/CRE6x-Luciferase co-transfected HEK293 cells Inhibition Measured in Cell-Based System Using Plate Reader - 7011-01_Antagonist_Dose_CherryPick_Activity_Set2,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","",45,"","","","","","",""
337869651,0.7667,743266,17504222,3665766,"",5745,"",Confirmatory,20190730,1,0,Inactive,NP_001171673,Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS for PTHR1 Agonists: Primary Screen,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",PTH1R - parathyroid hormone 1 receptor (human),/gene/5745,"",Q03431,9606,"","","","","","","",""
